Layer 1			
phi	   kx	          ky	            kz
0.28783	1022.70794	306.81238	560.16021
0.29425	999.75841	299.92752	547.59023
0.30758	1045.66415	313.69925	572.73384
0.27904	856.90827	257.07248	469.34799
0.26393	872.06241	261.61872	477.64825
0.26914	910.76427	273.22928	498.84614
0.24186	864.92137	259.47641	473.73694
0.15606	456.48945	136.94684	250.02957
0.18594	422.28168	126.68450	231.29320
0.19272	501.70183	150.51055	274.79341
0.21587	514.06893	154.22068	281.56715
0.22032	520.97676	156.29303	285.35072
0.23148	509.13564	152.74069	278.86507
0.24770	590.88282	177.26485	323.63985
0.28249	629.75132	188.92540	344.92900
0.26038	623.92250	187.17675	341.73643
0.27247	731.27140	219.38142	400.53384
0.25135	738.32258	221.49677	404.39593
0.26099	755.51597	226.65479	413.81314
0.24916	656.28446	196.88534	359.46180
0.25685	762.79089	228.83727	417.79778
0.27342	882.55964	264.76789	483.39782
0.30075	997.21982	299.16595	546.19979
0.27999	964.34798	289.30439	528.19514
0.28261	942.35538	282.70661	516.14930
0.28851	843.13122	252.93937	461.80199
0.27514	976.46711	292.94013	534.83306
0.16551	556.90834	167.07250	305.03126
0.16129	476.14338	142.84301	260.79447
0.19456	482.30229	144.69069	264.16784
0.22350	491.71419	147.51426	269.32295
0.22632	606.36654	181.90996	332.12063
0.21443	533.09819	159.92946	291.98990
0.21905	412.10651	123.63195	225.72003
0.22979	472.37926	141.71378	258.73278
0.26481	605.62170	181.68651	331.71267
0.28515	620.41291	186.12387	339.81415
0.28811	678.97910	203.69373	371.89217
0.25965	737.77529	221.33259	404.09617
0.23636	721.47480	216.44244	395.16802
0.23411	677.51899	203.25570	371.09243
0.23931	879.26661	263.77998	481.59416
0.28273	1013.56314	304.06894	555.15140
0.28288	1017.08214	305.12464	557.07883
0.29341	1022.00411	306.60123	559.77470
0.26236	868.86045	260.65814	475.89447
0.25736	811.33438	243.40031	444.38614
0.18564	715.32677	214.59803	391.80061
0.18243	623.49186	187.04756	341.50056
0.15904	490.26884	147.08065	268.53130
0.19859	519.28078	155.78423	284.42180
0.22173	597.77285	179.33186	327.41367
0.24731	681.29501	204.38850	373.16065
0.21025	549.57296	164.87189	301.01351
0.20784	494.61265	148.38380	270.91051
0.22011	421.31715	126.39515	230.76491
0.25229	536.01685	160.80506	293.58852
0.29312	724.62817	217.38845	396.89519
0.31142	695.44335	208.63301	380.91001
0.25643	644.65067	193.39520	353.08971
0.23725	749.52148	224.85644	410.52982
0.22076	730.01858	219.00557	399.84764
0.25866	851.76255	255.52877	466.52956
0.25539	937.15459	281.14638	513.30071
0.29546	1146.89007	344.06702	628.17756
0.27694	1038.95955	311.68787	569.06158
0.26794	860.31996	258.09599	471.21665
0.20850	806.38319	241.91496	441.67426
0.22648	770.70476	231.21143	422.13238
0.17019	674.25094	202.27528	369.30245
0.17186	583.41550	175.02465	319.54983
0.19581	506.53156	151.95947	277.43876
0.23643	633.28456	189.98537	346.86424
0.24047	585.06660	175.51998	320.45417
0.21303	489.20989	146.76297	267.95129
0.23222	639.84197	191.95259	350.45588
0.22276	412.49479	123.74844	225.93270
0.24942	435.93925	130.78178	238.77376
0.29638	688.07822	206.42347	376.87596
0.30495	737.78628	221.33588	404.10219
0.26271	641.65705	192.49712	351.45004
0.24178	614.35336	184.30601	336.49519
0.23291	760.91416	228.27425	416.76985
0.23879	871.47651	261.44295	477.32734
0.24411	930.33181	279.09954	509.56372
0.26138	960.37645	288.11294	526.01985
0.26500	974.73462	292.42039	533.88414
0.20044	725.65921	217.69776	397.45992
0.19968	752.91723	225.87517	412.38975
0.21449	795.28595	238.58579	435.59605
0.17551	628.97811	188.69343	344.50550
0.19231	596.16115	178.84835	326.53091
0.22818	670.63761	201.19128	367.32335
0.22660	663.24217	198.97265	363.27270
0.21883	564.73376	169.42013	309.31742
0.20594	529.32301	158.79690	289.92215
0.21656	459.21323	137.76397	251.52144
0.22331	453.76751	136.13025	248.53870
0.24406	434.05679	130.21704	237.74270
0.26655	570.23002	171.06901	312.32784
0.29881	654.29183	196.28755	358.37039
0.27659	758.64992	227.59498	415.52967
0.24374	644.26745	193.28024	352.87982
0.23587	776.63541	232.99062	425.38073
0.21321	769.33327	230.79998	421.38119
0.24050	892.34360	267.70308	488.75672
0.24147	934.19230	280.25769	511.67820
0.24311	889.67886	266.90366	487.29718
0.20337	683.52204	205.05661	374.38044
0.22074	711.45986	213.43796	389.68261
0.21570	794.97455	238.49237	435.42549
0.19270	715.29284	214.58785	391.78202
0.20985	717.20673	215.16202	392.83030
0.22887	696.57942	208.97383	381.53226
0.22662	615.11304	184.53391	336.91129
0.23967	593.20714	177.96214	324.91293
0.21365	556.96484	167.08945	305.06221
0.22800	600.16851	180.05055	328.72583
0.21385	506.72174	152.01652	277.54293
0.23253	466.74852	140.02456	255.64869
0.29727	708.26636	212.47991	387.93346
0.32311	782.62508	234.78752	428.66141
0.28502	846.09262	253.82779	463.42401
0.24944	768.22659	230.46798	420.77503
0.23342	782.89782	234.86935	428.81080
0.19582	768.43577	230.53073	420.88961
0.21827	832.28570	249.68571	455.86165
