Layer 3			
phi	   kx	          ky	                  kz
0.27963	530.48882	159.14665	290.56069
0.27786	480.19621	144.05886	263.01430
0.28322	649.71432	194.91430	355.86319
0.28163	654.02938	196.20881	358.22664
0.27228	466.22675	139.86803	255.36291
0.20421	410.26587	123.07976	224.71187
0.24530	406.87871	122.06361	222.85665
0.27855	445.06578	133.51973	243.77257
0.29973	406.32312	121.89694	222.55234
0.27216	291.39524	87.41857	159.60375
0.27687	269.37307	80.81192	147.54171
0.29841	321.09732	96.32920	175.87225
0.27109	246.90873	74.07262	135.23748
0.19788	295.10369	88.53111	161.63495
0.11698	346.99625	104.09888	190.05767
0.21721	465.86608	139.75982	255.16536
0.24722	493.65732	148.09720	270.38725
0.29370	531.72396	159.51719	291.23721
0.32280	529.90624	158.97187	290.24160
0.31448	546.25434	163.87630	299.19582
0.27480	544.90119	163.47036	298.45467
0.29075	494.77760	148.43328	271.00085
0.28195	602.66265	180.79880	330.09193
0.28359	617.85527	185.35658	338.41327
0.22809	458.45186	137.53556	251.10443
0.20307	367.67340	110.30202	201.38301
0.20655	348.22843	104.46853	190.73257
0.27525	516.20462	154.86139	282.73691
0.30084	410.36474	123.10942	224.76602
0.25361	307.11164	92.13349	168.21197
0.23814	265.61208	79.68362	145.48173
0.25399	303.34134	91.00240	166.14689
0.31053	335.94139	100.78242	184.00268
0.23445	289.22639	86.76792	158.41582
0.17944	442.79146	132.83744	242.52687
0.13210	284.42449	85.32735	155.78571
0.27295	477.68446	143.30534	261.63855
0.26156	477.63914	143.29174	261.61373
0.30180	513.94189	154.18257	281.49757
0.31647	477.49920	143.24976	261.53708
0.28693	546.84809	164.05443	299.52103
0.28502	551.26106	165.37832	301.93812
0.28297	602.17024	180.65107	329.82222
0.25687	584.03688	175.21106	319.89017
0.26610	563.22178	168.96653	308.48927
0.24362	397.58488	119.27546	217.76621
0.20003	365.92357	109.77707	200.42459
0.27965	504.60895	151.38269	276.38570
0.29416	465.08651	139.52595	254.73837
0.27285	398.98900	119.69670	218.53528
0.22389	316.01999	94.80600	173.09128
0.24928	305.36689	91.61007	167.25633
0.32858	369.41171	110.82351	202.33513
0.24067	282.93185	84.87956	154.96816
0.17212	385.47982	115.64395	211.13599
0.18166	411.05088	123.31526	225.14184
0.31124	519.56991	155.87097	284.58016
0.24237	479.94257	143.98277	262.87537
0.27205	424.27075	127.28123	232.38266
0.29467	443.57486	133.07246	242.95596
0.31532	546.25163	163.87549	299.19434
0.29409	586.14421	175.84326	321.04441
0.27747	508.67240	152.60172	278.61135
0.24413	532.16143	159.64843	291.47682
0.28247	643.05510	192.91653	352.21578
0.21901	386.16314	115.84894	211.51026
0.23156	425.29566	127.58870	232.94403
0.27826	458.47921	137.54376	251.11941
0.27044	519.35308	155.80592	284.46140
0.25757	377.07364	113.12209	206.53174
0.22181	314.07617	94.22285	172.02660
0.21601	340.07803	102.02341	186.26841
0.29896	381.07996	114.32399	208.72609
0.25773	343.49047	103.04714	188.13748
0.19668	398.83122	119.64937	218.44886
0.17485	463.87580	139.16274	254.07524
0.25918	443.04341	132.91302	242.66487
0.28325	507.40196	152.22059	277.91550
0.24000	424.84464	127.45339	232.69699
0.31594	469.61696	140.88509	257.21980
0.33048	645.26201	193.57860	353.42456
0.29261	578.75459	173.62638	316.99694
0.26989	498.40740	149.52222	272.98898
0.25566	527.60337	158.28101	288.98027
0.28738	617.71702	185.31511	338.33755
