Layer 2			
phi	   kx	           ky	         kz
0.27541	591.63310	177.48993	324.05079
0.23565	482.03487	144.61046	264.02137
0.26606	567.57361	170.27208	310.87287
0.23399	439.01024	131.70307	240.45581
0.27523	443.66360	133.09908	243.00456
0.32407	552.60771	165.78231	302.67571
0.26837	682.17676	204.65303	373.64360
0.26406	624.82926	187.44878	342.23308
0.25292	734.20999	220.26300	402.14337
0.29556	765.82120	229.74636	419.45755
0.25540	698.26489	209.47947	382.45543
0.22047	611.09512	183.32854	334.71058
0.21086	611.41107	183.42332	334.88363
0.19276	589.95455	176.98637	323.13141
0.23745	776.42636	232.92791	425.26623
0.22323	777.48719	233.24616	425.84727
0.26476	848.33807	254.50142	464.65390
0.24132	924.28560	277.28568	506.25207
0.23113	871.22247	261.36674	477.18820
0.23937	735.58001	220.67400	402.89376
0.24723	665.94468	199.78340	364.75292
0.22904	481.61771	144.48531	263.79288
0.24776	552.20488	165.66146	302.45507
0.23712	555.82986	166.74896	304.44055
0.21331	432.26677	129.68003	236.76226
0.29276	567.62059	170.28618	310.89860
0.28462	736.10235	220.83071	403.17986
0.27997	754.98952	226.49686	413.52479
0.23733	653.58656	196.07597	357.98410
0.25431	610.33092	183.09928	334.29201
0.26833	684.01527	205.20458	374.65059
0.22662	628.69907	188.60972	344.35266
0.21930	664.85711	199.45713	364.15724
0.22503	698.88174	209.66452	382.79329
0.22796	664.30682	199.29205	363.85583
0.26014	772.66537	231.79961	423.20625
0.25069	807.79002	242.33701	442.44482
0.28080	884.87583	265.46275	484.66645
0.25268	841.10901	252.33270	460.69438
0.24542	826.07083	247.82125	452.45763
0.22847	688.33840	206.50152	377.01847
0.23217	576.15081	172.84524	315.57080
0.24440	493.14229	147.94269	270.10516
0.25615	593.07459	177.92238	324.84033
0.22026	462.54828	138.76448	253.34813
0.25009	441.16992	132.35098	241.63872
0.27373	793.78259	238.13478	434.77263
0.27174	757.17007	227.15102	414.71913
0.24703	636.29036	190.88711	348.51058
0.24365	614.62054	184.38616	336.64153
0.26112	740.53179	222.15954	405.60597
0.22164	559.13119	167.73936	306.24877
0.20901	619.06861	185.72058	339.07784
0.22262	719.20778	215.76233	393.92632
0.24473	748.36637	224.50991	409.89714
0.22215	586.42778	175.92833	321.19972
0.26519	792.33297	237.69989	433.97864
0.26633	755.32944	226.59883	413.71097
0.27259	819.28394	245.78518	448.74029
0.26536	958.66589	287.59977	525.08293
0.22953	709.46412	212.83924	388.58950
0.20857	595.53168	178.65950	326.18613
0.22455	532.66549	159.79965	291.75290
0.22558	450.33591	135.10077	246.65914
0.22348	517.79298	155.33789	283.60690
0.20584	431.54527	129.46358	236.36708
0.23919	655.19456	196.55837	358.86484
0.27339	797.33272	239.19982	436.71712
0.24189	659.28744	197.78623	361.10660
0.23608	527.82163	158.34649	289.09981
0.27948	773.66492	232.09948	423.75373
0.23311	633.06824	189.92047	346.74576
0.20986	600.84334	180.25300	329.09545
0.20929	595.70095	178.71029	326.27885
0.26201	779.73315	233.91995	427.07744
0.26001	779.97432	233.99230	427.20953
0.28167	785.81280	235.74384	430.40740
0.29354	849.54438	254.86331	465.31462
0.29049	773.28566	231.98570	423.54600
0.28505	904.44978	271.33493	495.38755
0.27992	864.89818	259.46945	473.72424
0.23346	660.77612	198.23284	361.92199
0.21740	562.13049	168.63915	307.89155
0.20116	468.23357	140.47007	256.46209
0.23289	541.90812	162.57244	296.81530
0.22829	514.94119	154.48236	282.04491
0.25631	663.48218	199.04465	363.40416
0.28260	779.84999	233.95500	427.14143
0.28863	715.85437	214.75631	392.08959
0.25194	641.52600	192.45780	351.37826
0.25504	702.73907	210.82172	384.90604
0.27061	766.10411	229.83123	419.61250
0.22548	612.59348	183.77804	335.53127
0.21808	556.58239	166.97472	304.85273
0.23512	683.60697	205.08209	374.42696
0.27171	787.55342	236.26603	431.36077
0.29228	807.77899	242.33370	442.43877
0.31352	888.04948	266.41484	486.40473
0.30653	902.84054	270.85216	494.50613
0.34040	921.07435	276.32231	504.49320
0.31639	906.09273	271.82782	496.28743
0.24642	764.05497	229.21649	418.49014
0.21549	536.31528	160.89458	293.75198
0.21692	520.74926	156.22478	285.22612
0.16940	395.75657	118.72697	216.76480
0.21217	459.87126	137.96138	251.88186
